0 0 0 0 0 0
0.16667 0.00781 0.00627 -0.01165 0.01299 0.00983
0.33333 0.00895 0.00016 -0.01579 0.01597 0.00025
0.5 0.02018 0.01143 -0.01432 0.02127 0.01791
0.66667 0.02583 0.01637 0.00289 0.0397 0.02565
0.83333 0.03499 0.02069 0.01528 0.04604 0.03242
1 0.04266 0.02864 0.04614 0.05328 0.04489
1.16667 0.05504 0.03262 0.0573 0.05896 0.05112
1.33333 0.0585 0.04297 0.06343 0.06619 0.06734
1.5 0.06205 0.04585 0.07807 0.07612 0.07185
1.66667 0.06849 0.04849 0.07888 0.09157 0.07599
1.83333 0.07234 0.05948 0.09553 0.09231 0.09321
2 0.08145 0.06405 0.10398 0.10052 0.10038
2.16667 0.07245 0.06753 0.12079 0.09769 0.10583
2.33333 0.08408 0.07549 0.1313 0.10537 0.1183
2.5 0.08922 0.07821 0.13258 0.10776 0.12256
2.66667 0.0911 0.08215 0.12087 0.11582 0.12875
2.83333 0.09801 0.08866 0.13163 0.12425 0.13895
3 0.09006 0.08946 0.13941 0.11851 0.1402
3.16667 0.09778 0.09273 0.13456 0.12582 0.14532
3.33333 0.09082 0.09291 0.1071 0.13388 0.1456
3.5 0.10209 0.09367 0.08242 0.13582 0.1468
3.66667 0.10715 0.09921 0.08811 0.17567 0.15547
3.83333 0.61523 0.13798 0.06146 0.13619 0.17825
4 0.21189 0.10918 0.05991 0.12813 0.1408
4.16667 0.76081 0.09986 0.06908 0.12507 0.12858
4.33333 0.77622 0.09481 0.0805 0.12627 0.12082
4.5 0.78225 0.09858 0.09611 0.12157 0.12023
4.66667 0.77315 0.09901 0.11321 0.12388 0.13308
4.83333 0.79586 0.1033 0.04662 0.13082 0.13622
5 0.85279 0.11136 0.04734 0.13843 0.13839
5.16667 0.88369 0.10822 0.05238 0.21567 0.14825
5.33333 1 0.39452 0.05591 0.17201 0.19942
5.5 1.17117 0.25114 0.03404 0.16612 0.15634
5.66667 1.13108 0.22843 0.0353 0.15754 0.12349
5.83333 1.12676 0.44057 0.0289 0.16567 0.12974
6 1.1473 0.50019 0.03163 0.15918 0.12575
6.16667 1.17108 0.4929 0.03797 0.16201 0.13339
6.33333 1.18189 0.5351 0.03913 0.17127 0.14244
6.5 1.14342 0.5391 0.04767 0.16806 0.13374
6.66667 1.03423 0.56257 0.0489 0.1753 0.14892
6.83333 1.02937 0.58976 0.05179 0.17731 0.14711
7 1.05216 0.61181 0.05529 0.18224 0.15414
7.16667 1.08441 0.657 0.06084 0.18485 0.14947
7.33333 1.10198 0.70424 0.05789 0.1847 0.15904
7.5 1.12 0.70638 0.05954 0.18418 0.15937
7.66667 1.10333 0.7551 0.06316 0.19366 0.16556
7.83333 1.09 0.76495 0.05529 0.21448 0.16549
8 1.09 0.82 0.57 0.1959 0.22758
8.16667 1.08 0.87 0.59 0.19351 0.18057
8.33333 1.08297 0.92205 0.61426 0.17634 0.16057
8.5 1.06568 0.88833 0.59227 0.17888 0.15252
8.66667 1.06793 0.89286 0.57801 0.18575 0.15403
8.83333 1.05468 0.87067 0.52752 0.19545 0.15659
9 1.05775 0.86443 0.47738 0.19604 0.16034
9.16667 1.05703 0.90495 0.50199 0.18806 0.16714
9.33333 1.05072 0.9041 0.61638 0.19649 0.16792
9.5 1.04261 0.91595 0.6839 0.20313 0.17623
9.66667 1.06405 0.89419 0.71142 0.21239 0.17819
9.83333 1.07568 0.90424 0.77901 0.22022 0.18164
10 1.10153 0.89133 0.81326 0.21522 0.18577
10.16667 1.06369 0.89271 0.7778 0.21612 0.1893
10.33333 1.06054 0.92176 0.8673 0.22269 0.19805
10.5 1.00072 0.92014 0.84894 0.22619 0.20464
10.66667 1.01856 0.89848 0.81582 0.22963 0.20862
10.83333 1.02982 0.90438 0.87199 0.23045 0.21095
11 1.06991 0.92171 0.8656 0.23739 0.22566
11.16667 1.07784 0.94676 0.90766 0.24336 0.2242
11.33333 1.11063 0.95686 0.89433 0.25097 0.2255
11.5 1.10225 0.97129 0.89879 0.24769 0.22411
11.66667 1.11982 0.96957 0.95787 0.25881 0.2222
11.83333 1.10514 0.98586 0.96248 0.25545 0.22959
12 1.11423 0.98748 0.9634 0.25925 0.23675
12.16667 1.10712 0.98219 0.93929 0.25836 0.2351
12.33333 1.08937 0.9971 0.97574 0.26142 0.23763
12.5 1.09955 0.99867 0.95213 0.27448 0.25688
12.66667 1.10216 0.99886 0.94411 0.27 0.25693
12.83333 1.11018 1.00714 1.01333 0.27567 0.26189
13 1.09514 0.998 1.07489 0.29351 0.25588
13.16667 1.10901 1.01619 1.01191 0.27493 0.26308
13.33333 1.09108 1.01162 1.04738 0.28172 0.26028
13.5 1.08198 1.01095 1.04936 0.29448 0.27221
13.66667 1.07964 1.01724 1.04759 0.30619 0.27854
13.83333 1.0691 1.01448 1.06716 0.30455 0.27188
14 1.06982 1.02181 1.07454 0.30067 0.27321
14.16667 1.05793 1.022 1.06071 0.30933 0.287
14.33333 1.05081 1.02343 1.06128 0.31455 0.28646
14.5 1.05477 1.02471 1.07957 0.31522 0.29258
14.66667 1.03261 1.03962 1.05106 0.32179 0.2996
14.83333 1.04486 1.01176 1.07305 0.315 0.29602
15 1.04459 1.023 1.07858 0.32642 0.30341
15.16667 1.03982 1.03262 1.0839 0.33381 0.30478
15.33333 1.02252 1.037 1.04496 0.34306 0.30337
15.5 1.0582 1.02957 1.03255 0.33851 0.31301
15.66667 1.04667 1.0159 1.08085 0.34537 0.32212
15.83333 1.02739 1.02719 1.05057 0.35746 0.31691
16 1.00766 1.02481 1.02504 0.35418 0.32456
16.16667 1.04523 1.01267 1.03872 0.36933 0.33069
16.33333 1.03865 1.02529 1.07298 0.3644 0.33204
16.5 1.0382 1.00686 1.04135 0.36239 0.33316
16.66667 1.02784 1.02205 1.04929 0.37418 0.34041
16.83333 1.01919 1.026 0.9973 0.36627 0.33773
17 1.03495 1.01305 1.00128 0.36858 0.34302
17.16667 1.0127 1.01548 0.99787 0.38597 0.35615
17.33333 1.01559 1.01581 1.07291 0.38157 0.34151
17.5 1.03243 1.01957 1.02723 0.38597 0.34747
17.66667 1.02919 1.00824 1.05 0.39888 0.34981
17.83333 1.0155 1.016 1.05333 0.39888 0.35325
18 1.01387 1.02605 1.05674 0.39545 0.35662
